CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
351-05-3,7,,1.0,1,ms,O=C(CF)Nc1ccc(Br)cc1
70-30-4,1840,Hexachlorophene,1.0,4,ms,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
5903-13-9,213,N-methyl-N-1-naphthyl-2-fluoroacetamide,1.0,3,ms,CN(C(=O)CF)c1cccc2ccccc12
90-72-2,1280,"2,4,6-Tris(dimethylaminomethyl)phenol",1.0,4,ms,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1
2104-64-5,25,EPN,1.0,1,ms,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1
2540-82-1,353,Formothion [BSI:ISO],1.0,3,ms,COP(=S)(OC)SCC(=O)N(C)C=O
95-51-2,1000,2-chloroaniline,1.0,4,ms,Nc1ccccc1Cl
27811-88-7,425,Trichlorodinitrobenzene,1.0,3,ms,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1[N+](=O)[O-]
24017-47-8,1100,Triazophos [BSI:ISO],1.0,4,ms,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1
327-98-0,64,Trichloronat [BSI:ISO],1.0,2,ms,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
1474-80-2,5,AI 3-10599,1.0,1,ms,CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C
56-35-9,300,,1.0,3,ms,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[O][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC
150-19-6,682,3-Hydroxyanisole,1.0,3,ms,COc1cccc(O)c1
14816-18-3,1000,,1.0,4,ms,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
57-39-6,183,Metepa,1.0,2,ms,CC1CN1P(=O)(N1CC1C)N1CC1C
17109-49-8,615,Edifenphos [BSI:ISO],1.0,3,ms,CCOP(=O)(Sc1ccccc1)Sc1ccccc1
5836-10-02,150,Chloropropylate [ANSI:BSI:ISO],1.0,2,ms,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1031-47-6,48,Triamiphos [ISO:BSI],1.0,1,ms,CN(C)P(=O)(N(C)C)n1nc(-c2ccccc2)nc1N
