InChIKey,UN GHS,CASRN,Outcome,Index,StandardizerResult,knn Distance,CpId,SMILES
ACZGCWSMSTYWDQ-UHFFFAOYSA-N,2A,553-86-6,1,1,"Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,1,O=C1Cc2ccccc2O1
AEMRFAOFKBGASW-UHFFFAOYSA-N,2A,79-14-1,1,3,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,3,O=C(O)CO
AIUAMYPYEUQVEM-UHFFFAOYSA-N,2B,44992-01-0,1,6,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Clean 2D (ID: Clean2D)",,6,C=CC(=O)OCC[N+](C)(C)C
AKIIJALHGMKJEJ-UHFFFAOYSA-N,2A,5726-19-2,1,8,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,8,CC(=O)OC1CCCCC1C
ALOUNLDAKADEEB-UHFFFAOYSA-N,1,106-79-6,1,9,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,9,COC(=O)CCCCCCCCC(=O)OC
APRRQJCCBSJQOQ-UHFFFAOYSA-N,2A,8011-86-7,1,14,"Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,14,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12
AQZGPSLYZOOYQP-UHFFFAOYSA-N,2B,544-01-4,1,15,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,15,CC(C)CCOCCC(C)C
ASLWPAWFJZFCKF-UHFFFAOYSA-N,2B,13674-87-8,1,16,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,16,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
ATGUVEKSASEFFO-UHFFFAOYSA-N,2B,101-54-2,1,17,"Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,17,Nc1ccc(Nc2ccccc2)cc1
AZYRZNIYJDKRHO-UHFFFAOYSA-N,2A,2778-42-9,1,29,"Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,29,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1
BACYUWVYYTXETD-UHFFFAOYSA-M,2A,137-16-6,1,31,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,31,CCCCCCCCCCCC(=O)N(C)CC(=O)O
BBYNYNMPOUQKKS-UHFFFAOYSA-N,2A,,1,36,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,36,CSC(C)(C)SC
BDERNNFJNOPAEC-UHFFFAOYSA-N,1,71-23-8,1,37,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,37,CCCO
BGFBWRWYROQISE-UHFFFAOYSA-N,2A,5187-23-5,1,41,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,41,CCC1(CO)COCOC1
BGTOWKSIORTVQH-UHFFFAOYSA-N,2A,120-92-3,1,44,"Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",,44,O=C1CCCC1
