id_input,InChIKey,substance_name,casrn,Molecular weight,guideline,species,type_of_coverage,max_duration(hrs),vehicle,edema/ erythema score,max_score,reversibility,Outcome,StandardizerResult,SMILES
951,ACVNYUMGXUDACR-UHFFFAOYSA-N,-,65405-84-7,208.3397674560547,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.33333333333333,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CC1=CCCC(C)(C)C1C(C)CCC=O
1887,ACZGCWSMSTYWDQ-UHFFFAOYSA-N,1-benzofuran-2(3H)-one,553-86-6,134.13204956054688,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,water,2.23333333333333,,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",O=C1Cc2ccccc2O1
1921,ADAKRBAJFHTIEW-UHFFFAOYSA-N,1-chloro-4-isocyanatobenzene,104-12-1,153.56576538085938,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.79,4.0,1.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",O=C=Nc1ccc(Cl)cc1
4500,AEEGJNJYJCGJFZ-UHFFFAOYSA-N,isobutyl 2-chloropropanoate,83261-15-8,164.6299285888672,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,occlusive,4.0,unchanged (no vehicle),1.56,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CC(C)COC(=O)C(C)Cl
4174,AHUXYBVKTIBBJW-UHFFFAOYSA-N,dimethoxydiphenylsilane,6843-66-9,244.36114501953125,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.77666666666666,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CO[Si](OC)(c1ccccc1)c1ccccc1
5129,ALVYUZIFSCKIFP-UHFFFAOYSA-N,triethoxy(2-methylpropyl)silane,17980-47-1,220.3812713623047,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),1.9,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CCO[Si](CC(C)C)(OCC)OCC
927,AOKZLBCDXJYXOK-UHFFFAOYSA-N,-,149968-48-9,422.73046875,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.0,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CCCCCCCCC=CCCCCCCCCCCCC(=O)NCCCN(C)C
2827,AOOKHLGAVNECET-UHFFFAOYSA-N,"4-(3,4,5,6-tetramethyloctan-2-yl)phenol",121158-58-5,234.37704467773438,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),4.0,4.0,1.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",CCC(C)C(C)C(C)CCc1ccc(O)cc1
4564,BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl prop-2-enoate,96-33-3,86.08924102783203,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.385,3.0,1.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",C=CC(=O)OC
1910,BASMANVIUSSIIM-UHFFFAOYSA-N,1-chloro-2-(chloromethyl)benzene,611-19-8,161.02853393554688,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),2.76666666666666,4.0,0.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Dearomatize (ID: Dearomatize)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Aromatize (ID: Aromatize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",ClCc1ccccc1Cl
2897,BBDKZWKEPDTENS-UHFFFAOYSA-N,4-ethenylcyclohex-1-ene,100-40-3,108.1808853149414,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,occlusive,4.0,other: no vehicle,2.56,4.0,1.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",C=CC1CC=CCC1
2730,BHELZAPQIKSEDF-UHFFFAOYSA-N,3-bromoprop-1-ene,106-95-6,120.97579956054688,OECD Guideline 404 (Acute Dermal Irritation / Corrosion),rabbit,semiocclusive,4.0,unchanged (no vehicle),3.5,4.0,1.0,1,"Remove Explicit Hydrogens (ID: RemoveExplicitH)
Clear Stereo (ID: ClearStereo)
Wedge Clean (ID: WedgeClean)
Mesomerize (ID: Mesomerize)
Tautomerize (ID: Tautomerize)
Add Explicit Hydrogens (ID: AddExplicitH)
Neutralize (ID: Neutralize)
Clean 2D (ID: Clean2D)",C=CCBr
